empno,ename,designation,manager,hire_date,sal,deptno
7369,SMITH,CLERK,9902,2010-12-17,222800.00,20
7499,ALLEN,SALESMAN,9698,2011-02-20,331600.00,30
7521,WARD,SALESMAN,9698,2011-02-22,551250.00,30
9566,JONES,MANAGER,9839,2011-04-02,255975.00,20
7654,MARTIN,SALESMAN,9698,2011-09-28,111250.00,30
9698,BLAKE,MANAGER,9839,2011-05-01,132850.00,30
9782,CLARK,MANAGER,9839,2011-06-09,742450.00,10
9788,SCOTT,ANALYST,9566,2012-12-09,322000.00,20
9839,KING,PRESIDENT,NULL,2011-11-17,515000.00,10
7844,TURNER,SALESMAN,9698,2011-09-08,351500.00,30
7876,ADAMS,CLERK,9788,2012-01-12,11100.00,20
7900,JAMES,CLERK,9698,2011-12-03,11950.00,30
9902,FORD,ANALYST,9566,2011-12-03,113000.00,20
7934,MILLER,CLERK,9782,2012-01-23,21300.00,10
